MemberCD,CustomerCD,ClassCD,Score,CityCD
KT202911,CT1711,Gold,49470,C
KT202912,CT1712,Gold,26523,S
KT202913,CT1713,Gold,51942,S
KT202914,CT1714,Bronze,9444,S
KT202915,CT1715,Silver,12938,S
KT202916,CT1716,Bronze,7621,S
KT202917,CT1717,Gold,227477,C
KT202918,CT1718,Silver,10463,S
KT202919,CT1719,Bronze,15473,Q
KT202920,CT1720,Bronze,7732,S
KT202921,CT1721,Silver,32984,S
KT202922,CT1722,Bronze,7027,S
KT202923,CT1723,Silver,12956,S
KT202924,CT1724,Silver,12940,S
KT202925,CT1725,Gold,53063,S
KT202926,CT1726,Bronze,8632,S
KT202927,CT1727,Silver,20960,S
KT202928,CT1728,Bronze,7710,Q
KT202929,CT1729,Silver,25965,S
KT202930,CT1730,Bronze,7890,S
KT202931,CT1731,Gold,211298,S
KT202932,CT1732,Bronze,18766,C
KT202933,CT1733,Silver,-27,S
KT202934,CT1734,Silver,12967,S
KT202935,CT1735,Silver,12967,S
KT202936,CT1736,Bronze,16062,S
KT202937,CT1737,Bronze,34317,S
KT202938,CT1738,Gold,512284,C
KT202939,CT1739,Bronze,7868,S
KT202940,CT1740,Bronze,7868,S
KT202941,CT1741,Gold,29973,S
KT202942,CT1742,Gold,78804,S
KT202943,CT1743,Gold,262344,C
KT202944,CT1744,Bronze,16066,S
KT202945,CT1745,Bronze,7884,S
KT202946,CT1746,Gold,70920,S
KT202947,CT1747,Bronze,20224,S
KT202948,CT1748,Silver,12960,S
KT202949,CT1749,Gold,53071,S
KT202950,CT1750,Bronze,7709,Q
KT202951,CT1751,Silver,22986,S
KT202952,CT1752,Bronze,12459,S
KT202953,CT1753,Bronze,9457,S
KT202954,CT1754,Bronze,7862,S
KT202955,CT1755,Silver,64942,S
KT202956,CT1756,Silver,14473,S
KT202957,CT1757,Bronze,7757,S
KT202958,CT1758,Silver,11472,S
KT202959,CT1759,Bronze,8006,S
KT202960,CT1760,Gold,86457,S
KT202961,CT1761,Bronze,14473,S
KT202962,CT1762,Bronze,7074,S
KT202963,CT1763,Bronze,7199,C
KT202964,CT1764,Gold,119954,S
KT202965,CT1765,Bronze,7749,S
KT202966,CT1766,Gold,77897,S
KT202967,CT1767,Gold,39573,C
KT202968,CT1768,Bronze,7710,Q
KT202969,CT1769,Bronze,24123,Q
KT202970,CT1770,Bronze,8320,S
KT202971,CT1771,Bronze,9466,S
KT202972,CT1772,Bronze,7796,S
KT202973,CT1773,Silver,10433,S
KT202974,CT1774,Bronze,7198,C
KT202975,CT1775,Silver,22936,S
KT202976,CT1776,Bronze,7722,S
KT202977,CT1777,Bronze,7723,Q
KT202978,CT1778,Bronze,12460,S
KT202979,CT1779,Bronze,7710,Q
KT202980,CT1780,Gold,211284,S
KT202981,CT1781,Bronze,7206,C
KT202982,CT1782,Gold,56973,S
KT202983,CT1783,Gold,29961,S
KT202984,CT1784,Bronze,23423,S
KT202985,CT1785,Bronze,7015,S
KT202986,CT1786,Bronze,7215,S
KT202987,CT1787,Bronze,7467,S
KT202988,CT1788,Bronze,29107,Q
KT202989,CT1789,Bronze,20564,S
KT202990,CT1790,Gold,79144,C
KT202991,CT1791,Bronze,7723,Q
KT202992,CT1792,Silver,25974,S
KT202993,CT1793,Bronze,69523,S
KT202994,CT1794,Gold,30668,C
KT202995,CT1795,Bronze,7860,S
KT202996,CT1796,Silver,12951,S
KT202997,CT1797,Gold,25870,S
KT202998,CT1798,Bronze,8642,S
KT202999,CT1799,Bronze,7189,C
KT203000,CT1800,Bronze,24110,S
KT203001,CT1801,Silver,12956,S
KT203002,CT1802,Silver,26209,S
KT203003,CT1803,Gold,119979,S
KT203004,CT1804,Bronze,8489,C
KT203005,CT1805,Bronze,6938,S
KT203006,CT1806,Bronze,7734,S
KT203007,CT1807,Gold,-49,S
KT203008,CT1808,Bronze,7747,S
KT203009,CT1809,Silver,12951,S
KT203010,CT1810,Gold,53057,S
KT203011,CT1811,Bronze,7851,S
KT203012,CT1812,Bronze,24101,S
KT203013,CT1813,Silver,10455,S
KT203014,CT1814,Bronze,31259,S
KT203015,CT1815,Bronze,8010,S
KT203016,CT1816,Gold,-27,S
KT203017,CT1817,Bronze,7892,S
KT203018,CT1818,Silver,36963,C
KT203019,CT1819,Bronze,6397,S
KT203020,CT1820,Bronze,27880,S
KT203021,CT1821,Gold,93438,S
KT203022,CT1822,Bronze,8625,S
KT203023,CT1823,Gold,-48,S
KT203024,CT1824,Bronze,12438,S
KT203025,CT1825,Bronze,39675,S
KT203026,CT1826,Bronze,6923,Q
KT203027,CT1827,Bronze,56468,S
KT203028,CT1828,Silver,36993,C
KT203029,CT1829,Bronze,7723,Q
KT203030,CT1830,Gold,79928,
KT203031,CT1831,Bronze,14429,C
KT203032,CT1832,Silver,18723,S
KT203033,CT1833,Bronze,7202,C
KT203034,CT1834,Bronze,7821,S
KT203035,CT1835,Bronze,8272,S
KT203036,CT1836,Gold,83109,C
KT203037,CT1837,Bronze,8631,S
KT203038,CT1838,Bronze,8023,S
KT203039,CT1839,Bronze,56453,S
KT203040,CT1840,Gold,29673,C
KT203041,CT1841,Bronze,7895,S
KT203042,CT1842,Silver,10474,S
KT203043,CT1843,Gold,30960,C
KT203044,CT1844,Bronze,6393,C
KT203045,CT1845,Bronze,8635,S
KT203046,CT1846,Bronze,7498,S
KT203047,CT1847,Bronze,69523,S
KT203048,CT1848,Bronze,7850,C
KT203049,CT1849,Silver,32962,S
KT203050,CT1850,Gold,89077,C
KT203051,CT1851,Bronze,31261,S
KT203052,CT1852,Bronze,7691,S
KT203053,CT1853,Bronze,15226,C
KT203054,CT1854,Gold,39374,S
KT203055,CT1855,Silver,25946,S
KT203056,CT1856,Bronze,9322,S
KT203057,CT1857,Gold,164811,S
KT203058,CT1858,Gold,26489,S
KT203059,CT1859,Bronze,19224,C
KT203060,CT1860,Bronze,7202,C
KT203061,CT1861,Bronze,14057,S
KT203062,CT1862,Silver,11469,S
KT203063,CT1863,Gold,25871,S
KT203064,CT1864,Bronze,69523,S
KT203065,CT1865,Silver,12966,S
KT203066,CT1866,Silver,12948,S
KT203067,CT1867,Silver,13821,C
KT203068,CT1868,Gold,50454,S
KT203069,CT1869,Bronze,9473,S
KT203070,CT1870,Bronze,11119,S
KT203071,CT1871,Bronze,7859,S
KT203072,CT1872,Gold,52497,S
KT203073,CT1873,Gold,4957,S
KT203074,CT1874,Bronze,8943,S
KT203075,CT1875,Silver,23962,C
KT203076,CT1876,Bronze,7200,C
KT203077,CT1877,Bronze,9815,S
KT203078,CT1878,Bronze,7866,S
KT203079,CT1879,Bronze,7868,S
KT203080,CT1880,Gold,83092,C
KT203081,CT1881,Silver,25965,S
KT203082,CT1882,Bronze,7852,S
KT203083,CT1883,Bronze,10484,S
KT203084,CT1884,Silver,10462,S
KT203085,CT1885,Bronze,7015,S
KT203086,CT1886,Bronze,29076,Q
KT203087,CT1887,Silver,12963,S
KT203088,CT1888,Gold,29971,S
KT203089,CT1889,Bronze,23423,S
KT203090,CT1890,Gold,29964,C
KT203091,CT1891,Bronze,7708,Q
