longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.67,37.99,22,1046,195,527,164,4.375,213500,INLAND
-118.33,33.77,33,4244,595,1534,557,9.8214,500001,NEAR OCEAN
-122.41,37.81,25,1178,545,592,441,3.6728,500001,NEAR BAY
-118.38,34.04,36,3005,771,2054,758,2.0437,309100,<1H OCEAN
-117.13,32.72,9,2436,720,1780,653,1.8299,137500,NEAR OCEAN
-117.96,33.78,26,2136,557,1528,537,2.4931,236100,<1H OCEAN
-121.91,37.36,42,3224,708,1940,674,3.2153,199700,<1H OCEAN
-121.13,38.66,2,12360,1747,4438,1470,6.2503,222500,INLAND
-117.21,33.34,10,5294,817,2312,810,5.4563,325700,<1H OCEAN
-120.07,37.34,16,1667,372,762,283,1.75,87500,INLAND
-116.99,32.73,30,1856,339,1103,379,4.0357,153800,<1H OCEAN
-117.71,33.6,8,3329,753,1312,629,3.5521,229800,<1H OCEAN
-118.31,33.91,31,1415,339,874,289,3.8173,177900,<1H OCEAN
-122.42,37.8,52,2852,581,838,510,8.0755,500001,NEAR BAY
-121.46,38.54,39,1453,324,843,281,1.7692,63900,INLAND
-117.06,32.61,23,1630,362,1267,418,2.5625,131100,NEAR OCEAN
-118.24,34.22,41,2476,506,1271,485,3.4531,263900,<1H OCEAN
-119.6,36.57,42,2311,439,1347,436,2.5556,69700,INLAND
-121.28,37.83,32,696,151,443,144,2.5156,86300,INLAND
-117.48,33.93,31,2191,459,1564,450,2.6776,122000,INLAND
-122.23,37.82,52,1611,203,556,179,8.7477,500001,NEAR BAY
-120.99,39.26,16,2616,422,1090,425,3.7917,179200,INLAND
-117.75,33.83,14,2452,296,954,275,8.2375,388300,<1H OCEAN
-121.29,38,12,4038,1074,3440,942,1.9698,112300,INLAND
-117.99,33.92,27,5805,1152,3106,1144,4.061,222700,<1H OCEAN
-122.54,37.95,38,2310,400,971,386,5.697,435700,NEAR BAY
-115.58,32.81,10,1088,203,533,201,3.6597,87500,INLAND
-117.89,33.74,32,660,145,959,113,3.75,159000,<1H OCEAN
-117.12,34.06,38,281,55,151,52,1.3906,120800,INLAND
-117.58,33.6,5,5348,659,1862,555,11.0567,495400,<1H OCEAN
-117.15,32.7,50,475,172,483,120,1.3657,162500,NEAR OCEAN
-118.81,34.28,20,3678,684,1882,694,4.1607,196800,<1H OCEAN
-118.18,33.94,43,2724,612,2340,570,2.7,165000,<1H OCEAN
-118.13,34.04,40,1444,312,881,303,3.1083,220500,<1H OCEAN
-121.83,37.28,33,1115,250,1168,261,3.9009,178600,<1H OCEAN
-122.26,37.51,29,3703,1075,1611,1025,2.7075,323800,NEAR OCEAN
-122.21,38.41,12,4270,654,1624,598,5.5266,331300,INLAND
-121.98,37.29,31,2750,664,1459,660,3.2287,264900,<1H OCEAN
-118.32,33.8,29,4317,1037,2102,959,3.1275,286400,<1H OCEAN
-121.4,38.71,15,4680,758,2626,729,3.8355,107000,INLAND
-118.32,34.1,36,1655,690,1957,633,1.7325,221900,<1H OCEAN
-122.68,38.25,29,1315,240,650,228,3.8269,306000,<1H OCEAN
-118.12,33.77,20,4534,954,1941,892,6.0362,463500,NEAR OCEAN
-117.31,34.14,44,1487,273,972,281,3.2292,86100,INLAND
-118.29,34.06,42,3894,2293,6846,2156,1.5553,70000,<1H OCEAN
-117.25,32.96,18,4773,743,1970,716,6.6199,406200,NEAR OCEAN
-117.28,33.2,11,1472,261,1012,285,4.21,175600,NEAR OCEAN
-122.36,37.94,26,1540,343,1007,338,1.3365,72900,NEAR BAY
-118.42,34.05,33,2921,652,1124,608,5.0151,500001,<1H OCEAN
-122.28,37.99,28,3801,622,1654,571,4.375,193300,NEAR BAY
-117.08,32.75,15,1821,516,1385,439,2.5101,95300,NEAR OCEAN
-115.56,32.78,29,1568,283,848,245,3.1597,76200,INLAND
-118.46,34.05,21,3639,1002,1489,983,4.6197,387500,<1H OCEAN
-117.78,34.58,6,10263,1864,6163,1781,3.8803,120000,INLAND
-117.17,32.63,26,1617,279,2745,250,3.5357,67500,NEAR OCEAN
-120.52,35.24,5,4413,804,2003,725,5.0267,253300,<1H OCEAN
-117.11,32.76,28,1457,397,672,342,1.9799,122700,NEAR OCEAN
-117.4,34,31,1192,307,1013,283,2.0742,76200,INLAND
-118.73,34.29,11,5451,736,2526,752,7.355,343900,<1H OCEAN
-121.01,37.68,33,828,123,373,133,5.5,146200,INLAND
-121.05,39.13,10,3063,497,1168,507,4.4375,185100,INLAND
-119.67,36.35,10,1090,164,470,158,4.9432,118800,INLAND
-118.05,33.82,25,1548,279,732,265,5.123,159600,<1H OCEAN
-117.02,32.75,33,3296,537,1345,556,5.2835,217100,<1H OCEAN
-122.26,41.66,17,1885,350,953,328,2.1607,61400,INLAND
-121.24,37.9,16,50,10,20,6,2.625,137500,INLAND
-118.33,34.01,44,1762,463,786,445,1.9231,188500,<1H OCEAN
-122.56,38.41,20,1151,211,478,183,5.93,384600,<1H OCEAN
-118.07,33.88,16,4934,825,2668,810,5.748,284200,<1H OCEAN
-116.86,32.87,17,5799,921,2630,843,5.0524,285400,<1H OCEAN
-121.81,37.35,28,3477,671,2990,648,4.4671,172600,<1H OCEAN
-121.53,38.58,35,1316,321,732,336,2.1213,79200,INLAND
-121.44,38.54,47,2518,501,1308,471,2.5389,75700,INLAND
-118.11,33.8,36,1837,319,810,305,4.3897,235000,<1H OCEAN
-121.42,38.53,37,1958,367,1171,366,2.8298,71200,INLAND
-119.15,34.3,21,2475,502,1269,505,2.98,259200,NEAR OCEAN
-120.58,38.77,15,2155,394,857,356,4.03,141200,INLAND
-120.84,37.07,24,1520,335,882,306,2.2019,100000,INLAND
-122.96,40.77,29,1637,297,753,270,3.2891,93100,INLAND
-121.98,38.29,4,8778,1291,4010,1188,5.4399,187100,INLAND
-121.37,38.7,26,2230,410,1155,377,3.4911,88200,INLAND
-121.64,40.9,24,2237,434,834,318,1.7538,90300,INLAND
-118.3,33.73,40,2582,606,1304,588,3.5694,276400,NEAR OCEAN
-121.98,38.32,45,19,5,7460,6,10.2264,137500,INLAND
-121.28,37.94,35,2680,634,2188,611,1.9375,56700,INLAND
-119.18,36.4,39,1730,310,899,309,2.6648,129200,INLAND
-122.04,37.6,17,3314,638,1873,602,4.3875,238500,NEAR BAY
-118.03,34.06,24,2469,731,3818,712,2.5445,151400,<1H OCEAN
-121.98,37.33,30,3742,633,1721,631,6.1388,302400,<1H OCEAN
-120.27,37.11,18,1277,234,674,238,2.6694,75900,INLAND
-122.31,40.47,26,2723,551,1326,547,2.3594,66000,INLAND
-117.06,32.62,36,786,125,408,138,3.9167,189700,NEAR OCEAN
-116.89,33.93,29,4549,916,2494,912,2.0976,72600,INLAND
-117.86,33.75,39,275,87,554,103,3.5972,158000,<1H OCEAN
-117.99,33.81,42,161,40,157,50,2.2,153100,<1H OCEAN
-120.45,34.64,34,2571,499,1105,451,3.7778,150000,NEAR OCEAN
-120.41,37.16,21,1684,341,1052,312,2.0809,95800,INLAND
-118.37,34.03,39,213,44,138,52,2.125,196400,<1H OCEAN
-121.99,37.54,18,3584,715,1673,661,3.9444,240100,<1H OCEAN
-119.82,36.32,18,942,193,424,174,2.0673,87500,INLAND
-117.8,34.15,14,7876,1253,3699,1162,5.5423,248700,INLAND
-122.73,38.46,14,4042,1298,2323,1158,2.0651,135400,<1H OCEAN
-121.36,38.63,30,2619,370,940,359,4.7283,164500,INLAND
-118.37,33.97,21,3616,1060,2515,945,2.7464,153100,<1H OCEAN
-119.45,35.16,34,3437,696,1783,608,2.3912,52900,INLAND
-118.15,34.14,52,403,117,361,105,1.625,187500,<1H OCEAN
-118.1,33.8,37,1814,329,850,328,5.0574,240800,<1H OCEAN
-122.21,37.78,46,2239,508,1390,569,2.7352,137300,NEAR BAY
-116.9,34.25,16,3018,523,556,244,3.5288,189700,INLAND
-117.34,33.98,10,17286,4952,9851,4616,1.7579,103400,INLAND
-121.42,38.52,32,2828,556,1655,485,2.5574,72600,INLAND
-121.94,37.28,27,2859,464,1144,430,5.0822,327500,<1H OCEAN
-121.91,37.43,33,2791,496,1714,485,4.8304,224900,<1H OCEAN
-118.1,33.82,36,1930,354,915,328,5.2713,244400,<1H OCEAN
-122.02,37.84,34,1879,265,729,263,7.7072,443800,NEAR BAY
-119.04,36.07,17,2623,659,1912,618,1.5893,52000,INLAND
-116.91,32.85,21,4152,703,2255,697,4.5096,159500,<1H OCEAN
-118.08,33.78,30,2879,403,1109,414,6.9324,364700,<1H OCEAN
-122.21,38.28,35,1273,210,555,181,4.4861,269300,NEAR BAY
-117.9,34.12,33,1788,456,1787,361,2.6629,124100,<1H OCEAN
-118.18,33.77,39,1645,547,1339,499,1.5536,155000,NEAR OCEAN
-122.27,37.85,40,751,184,409,166,1.3578,147500,NEAR BAY
-122.07,37.33,13,2173,349,891,345,8.0158,420000,<1H OCEAN
-120.45,34.63,25,2445,368,983,363,4.9286,180100,NEAR OCEAN
-121.97,37.01,21,2073,357,1044,351,4.5682,371600,NEAR OCEAN
-117.2,32.85,26,2298,549,980,555,2.4207,213500,NEAR OCEAN
-123.22,39.15,36,1166,216,504,203,3.5938,122100,<1H OCEAN
-117.36,34.08,4,8866,1832,4775,1554,3.7348,125800,INLAND
-121.5,38.56,46,2646,645,1684,616,1.128,123100,INLAND
-122.47,37.79,52,2383,477,990,464,3.9688,483300,NEAR BAY
-121.17,37.88,22,1283,256,3082,239,3.5365,111800,INLAND
-122.86,38.62,35,2597,522,1231,499,2.7432,174000,<1H OCEAN
-121.21,37.81,8,1883,298,999,301,5.193,172100,INLAND
-118.02,33.79,23,6368,1030,3281,1001,6.1142,240400,<1H OCEAN
-116.72,34.89,14,4527,875,1640,590,2.8594,81700,INLAND
-118.17,33.98,41,756,,873,212,2.7321,156000,<1H OCEAN
-118.36,34.19,11,2921,685,1512,664,4.1445,176400,<1H OCEAN
-118.32,34.2,36,2110,346,984,342,6.9909,345300,<1H OCEAN
-121.36,37.96,32,614,95,227,107,3.9922,247400,INLAND
-124.18,40.78,33,1076,222,656,236,2.5096,72200,NEAR OCEAN
-118.09,33.74,44,1671,390,871,367,4.6369,422200,NEAR OCEAN
-120.61,37.03,34,1841,354,1019,356,1.7841,67500,INLAND
-116.83,34.25,15,8948,1985,1316,514,2.7375,90800,INLAND
-118.44,34.01,42,2061,396,907,393,6.0804,420000,<1H OCEAN
-120.35,36.16,18,1519,296,846,272,2.7792,85300,INLAND
-120.05,36.98,16,3705,739,2463,697,2.5288,61800,INLAND
-118.6,34.21,19,2581,857,2004,784,2.6159,182300,<1H OCEAN
-121.88,36.59,30,1822,505,932,496,2.6894,179500,<1H OCEAN
-118.14,33.97,31,1161,267,1175,282,3.0114,177000,<1H OCEAN
-118.29,34.26,33,3177,713,1845,612,4.008,191100,<1H OCEAN
-121.13,39.31,17,3442,705,1693,619,2.8102,128900,INLAND
-117.08,32.69,36,1571,284,1001,268,3.6875,111400,NEAR OCEAN
-118.3,34.02,34,3184,772,2474,705,1.631,137500,<1H OCEAN
-120.49,37.28,11,1721,381,1708,373,1.9535,57100,INLAND
-118.26,33.96,39,1542,375,1256,361,1.7167,100000,<1H OCEAN
-118.38,33.95,35,3259,967,2003,920,3.2708,400000,<1H OCEAN
-118.45,34.16,22,7828,2038,3303,1922,3.6171,318300,<1H OCEAN
-119.25,34.27,46,679,159,382,143,3.5,221200,NEAR OCEAN
-118.43,34.22,34,2300,429,1447,455,4.2656,233700,<1H OCEAN
-121.88,37.26,13,1893,487,1018,464,3.8047,204700,<1H OCEAN
-118.36,34.02,43,1356,333,796,329,1.7159,189700,<1H OCEAN
-118.46,34.29,24,3668,890,3151,810,3.0526,183300,<1H OCEAN
-121.26,38.69,17,3917,638,1809,564,5.2586,137000,INLAND
-117.28,33.92,35,3623,841,2721,766,2.1574,86900,INLAND
-121.7,37.93,10,3258,612,1779,558,4.6587,152500,INLAND
-117.96,34.05,35,1254,263,1092,268,4.6364,163100,<1H OCEAN
-118.92,34.41,22,2702,655,2664,571,3.0893,173400,<1H OCEAN
-116.79,32.61,19,2652,520,1421,491,3.5227,206100,<1H OCEAN
-118.22,33.94,42,1115,297,1412,325,3.0903,153500,<1H OCEAN
-120.22,39.2,22,8259,1409,845,353,3.3699,244000,INLAND
-119.43,36.61,19,1484,296,1296,298,2.4219,65800,INLAND
-121.22,38.71,23,1843,273,818,276,4.4695,214700,INLAND
-118.3,34.07,31,1489,664,1793,556,2.4348,230600,<1H OCEAN
-117.19,32.75,33,1115,316,583,269,2.5882,258300,NEAR OCEAN
-122.43,37.79,50,3312,1095,1475,997,2.7165,500001,NEAR BAY
-117.99,33.74,26,4065,741,1960,739,4.506,240000,<1H OCEAN
-121.46,38.7,32,965,183,568,188,3.8611,93900,INLAND
-121.91,36.62,40,1292,271,504,230,2.475,258300,<1H OCEAN
-117.27,34.12,52,954,246,943,256,0.8658,87500,INLAND
-118.29,33.96,31,4022,1208,3707,1007,1.3096,116300,<1H OCEAN
-122.5,37.74,44,2792,615,1640,579,4.0625,272800,NEAR OCEAN
-117.38,33.89,12,3964,524,1707,549,5.1624,267900,INLAND
-120.84,38.77,11,1013,188,410,158,4.825,184600,INLAND
-118.06,34.1,38,3229,636,1599,609,3.8646,257100,<1H OCEAN
-117.47,33.94,34,2086,417,1501,395,3.2311,105600,INLAND
-117.14,32.7,36,633,148,557,139,1.5729,82700,NEAR OCEAN
-117.82,35.03,30,2555,510,1347,467,3.3693,71800,INLAND
-118.41,34.05,16,9728,2211,3026,1899,5.8758,500001,<1H OCEAN
-118.25,33.96,43,2015,419,1543,399,1.8672,98100,<1H OCEAN
-118.22,34.05,43,1153,411,1667,409,1.9402,139300,<1H OCEAN
-117.89,34.09,37,1055,280,538,206,2.4167,181300,<1H OCEAN
-117.24,34.04,4,4289,682,1981,705,5.3366,165100,INLAND
-122.11,37.41,33,1641,284,659,282,6.0884,432900,NEAR BAY
-118.32,33.73,25,1099,168,407,159,7.6886,500001,NEAR OCEAN
-122.45,37.78,43,1452,397,897,393,4.1319,322700,NEAR BAY
-121.25,38.7,16,3262,533,1794,543,4.2464,144400,INLAND
-117.08,32.69,31,2558,487,1938,492,3.4875,117000,NEAR OCEAN
-118.32,33.8,39,1415,298,729,278,3.1648,244800,<1H OCEAN
-117.24,34.13,26,3774,716,1913,620,3.3534,98900,INLAND
-117.09,32.64,20,1999,651,1302,592,1.6321,57500,NEAR OCEAN
-118.07,34.07,19,1554,393,1427,370,3.125,207100,<1H OCEAN
-118.46,34.07,42,2564,460,913,414,9.2225,500001,<1H OCEAN
-119.29,36.34,35,1235,369,1246,341,1.474,71000,INLAND
-122.59,37.99,36,4869,871,1899,827,4.1659,302000,NEAR BAY
-122.71,38.45,39,2739,573,1223,569,2.9663,185400,<1H OCEAN
-118.11,33.73,32,1258,333,645,334,5.0476,500001,NEAR OCEAN
-117.05,33.29,17,1800,312,891,281,7.0177,267600,<1H OCEAN
-118.52,34.46,5,15341,2527,7270,2320,6.1281,236200,<1H OCEAN
-118.19,34.21,41,1602,228,680,225,6.553,500001,<1H OCEAN
-118.08,33.97,38,1026,190,789,193,4.2,163200,<1H OCEAN
-121.29,38.14,27,836,132,303,133,3.875,127400,INLAND
-119.1,35.79,19,1809,477,2051,416,1.8144,49800,INLAND
-118.11,34.07,19,3215,907,3072,870,2.3393,202300,<1H OCEAN
-121.95,37.78,4,14652,2826,5613,2579,6.3942,356700,<1H OCEAN
-121.96,36.88,37,2846,553,939,433,4.7468,294400,NEAR OCEAN
-118.47,33.99,33,854,235,645,198,2.1471,239300,<1H OCEAN
-117.22,32.82,35,756,135,423,136,3.5234,183900,NEAR OCEAN
-121.45,36.86,11,1613,335,1617,342,3.1375,146200,INLAND
-117.87,33.88,24,2655,702,1519,708,3.3036,183900,<1H OCEAN
-117.92,33.76,26,784,177,662,169,2.8438,174300,<1H OCEAN
-118.1,33.74,32,2035,,934,512,4.2287,500001,NEAR OCEAN
-118.41,34.29,32,1591,320,1818,306,4.2969,145800,<1H OCEAN
-121.18,41.31,22,2124,432,829,313,2.4519,57500,INLAND
-121.43,38.53,36,1488,294,846,279,3.1208,82700,INLAND
-117.94,33.93,33,1770,370,1346,366,4.0833,162500,<1H OCEAN
-117.3,33.85,15,3991,751,2317,657,2.9542,127900,INLAND
-118.75,34.1,34,2255,402,857,317,4.5333,377300,NEAR OCEAN
-117.42,33.94,26,2420,532,1383,469,3.5403,113500,INLAND
-117.74,33.62,16,4134,740,2103,745,5.6877,231400,<1H OCEAN
-119.03,35.37,52,1503,367,554,277,1.6786,126600,INLAND
-118.09,33.93,37,1950,356,1183,338,4.1449,175300,<1H OCEAN
-118.31,33.73,33,2265,366,986,388,5.4533,409800,NEAR OCEAN
-117.11,32.75,20,1667,469,1292,445,2.0893,101100,NEAR OCEAN
-117.29,34.57,22,1054,239,428,239,1.2548,68300,INLAND
-116.91,32.86,15,3153,628,1633,527,3.6898,131000,<1H OCEAN
-116.26,33.65,3,7437,1222,574,302,10.2948,382400,INLAND
-117.18,32.8,30,2456,390,1022,393,3.8542,198500,NEAR OCEAN
-119.25,34.21,12,15201,2418,7132,2251,5.6756,301800,NEAR OCEAN
-120.86,37.69,5,6660,1217,3012,1087,3.0809,143600,INLAND
-117.08,33.82,6,1771,293,935,279,4.065,148200,INLAND
-119.14,34.28,31,790,241,1095,222,2.25,75000,NEAR OCEAN
-118.42,34.02,21,3244,815,1423,781,3.6488,340800,<1H OCEAN
-122.56,38.06,19,15622,2721,6109,2615,5.0965,295300,NEAR BAY
-118.45,34.07,13,4284,1452,3806,1252,1.3125,350000,<1H OCEAN
-119.43,36.63,25,1784,312,904,303,3.625,107600,INLAND
-121.73,38,3,9217,1522,3578,1272,5.0016,189100,INLAND
-122.42,37.79,52,2737,1241,1761,1029,1.8068,225000,NEAR BAY
-118.41,34.02,19,4702,1472,2636,1334,3.3955,225000,<1H OCEAN
-118.74,34.26,22,4337,673,2347,636,5.4091,222400,<1H OCEAN
-117.39,33.98,37,2337,452,948,437,3.145,169100,INLAND
-121.29,38.14,34,2770,544,1409,535,3.2338,101800,INLAND
-117.7,33.6,26,2283,506,634,469,2.3774,74300,<1H OCEAN
-119.68,36.77,21,1260,182,583,205,6.0132,150800,INLAND
-118.42,34.24,35,1507,281,1025,286,4.5833,177200,<1H OCEAN
-121.06,38.51,6,6873,959,2354,931,6.8869,263100,INLAND
-122.46,37.66,15,6082,1284,3861,1198,5.4221,284700,NEAR OCEAN
-121.87,37.26,17,1051,172,446,173,5.6652,234500,<1H OCEAN
-118.42,34.28,29,1271,272,1338,266,4.125,150000,<1H OCEAN
-118.25,33.87,18,6812,1263,3704,1216,4.25,169200,<1H OCEAN
-117.96,34.05,32,1993,388,1385,380,3.7258,181900,<1H OCEAN
-121.37,38.6,35,3137,544,1312,549,3.788,136800,INLAND
-121.92,37.32,31,1902,554,1485,494,2.4207,165600,<1H OCEAN
-118.34,34.03,48,1426,331,784,356,1.6581,118800,<1H OCEAN
-118.05,34.07,32,4492,1075,4119,1035,3.2373,183100,<1H OCEAN
-118.3,34.09,29,3245,1190,3906,1102,2.1927,253300,<1H OCEAN
-122.15,37.68,30,2261,443,929,383,4.2841,213400,NEAR BAY
-122.04,37.58,14,14917,2708,8012,2606,5.6277,269800,NEAR BAY
-121.86,37.41,16,2938,589,1718,568,5.5073,178900,<1H OCEAN
-117.87,33.62,15,2209,275,735,274,15.0001,500001,<1H OCEAN
-117.66,33.61,16,2022,254,789,270,8.4112,286900,<1H OCEAN
-118.44,35.75,23,3166,700,1097,493,2.6288,96000,INLAND
-121.42,38.49,17,13180,2444,7235,2335,3.363,103000,INLAND
-118.08,33.85,19,4261,678,2621,661,6.2427,288700,<1H OCEAN
-120.95,37.59,43,1561,354,862,332,1.8466,81500,INLAND
-118.47,33.99,50,1568,501,764,478,3.015,414300,<1H OCEAN
-121.3,37.96,52,1354,314,679,311,1.7788,97400,INLAND
-121.37,36.89,21,2471,473,1753,451,4.025,293800,INLAND
-119.08,36.09,25,1880,339,1003,315,2.7298,103400,INLAND
-117.67,34.04,16,3260,501,1973,535,4.6563,162000,INLAND
-122.43,37.7,19,1733,354,959,348,4.7708,281700,NEAR BAY
-117.19,34.27,16,7961,1147,879,280,5.2146,255200,INLAND
-117.16,32.74,52,852,262,389,249,2.6042,225000,NEAR OCEAN
-117.24,32.85,18,3117,475,904,368,6.7587,388500,NEAR OCEAN
-118.14,33.9,39,1379,282,883,291,3.3375,180100,<1H OCEAN
-118.47,33.99,52,1523,447,636,408,3.0682,412500,<1H OCEAN
-117.98,33.7,17,1997,340,952,341,4.4148,239200,<1H OCEAN
-118.68,34.27,26,1561,212,817,242,5.477,209100,<1H OCEAN
-118.03,33.76,25,4650,849,2503,790,5.742,221900,<1H OCEAN
-117.24,33.93,12,7105,1447,4520,1333,3.2705,113200,INLAND
-118.27,34.25,35,2091,360,879,326,4.4485,261900,<1H OCEAN
-117.81,33.67,24,3930,661,1831,616,6.3767,269000,<1H OCEAN
-120.7,38.69,13,4492,821,2093,734,4.0709,151700,INLAND
-118.09,33.96,36,3271,603,2593,616,3.3621,169700,<1H OCEAN
-118.56,34.19,35,782,144,425,140,5.4548,201400,<1H OCEAN
-117.08,33.14,19,2629,494,1444,503,3.5462,156800,<1H OCEAN
-118.28,33.96,34,2074,562,1913,514,1.6156,102100,<1H OCEAN
-118.35,33.87,28,2319,579,1369,564,3.6169,257000,<1H OCEAN
-122.29,37.53,41,839,190,419,215,5.012,368200,NEAR OCEAN
-117.25,32.84,19,1759,214,659,195,10.7751,500001,NEAR OCEAN
-118.16,34.14,41,3039,482,973,446,7.4817,500001,<1H OCEAN
-122.34,40.63,10,2183,369,1061,325,3.6853,151600,INLAND
-118.35,33.89,30,1143,299,776,273,4.2829,240000,<1H OCEAN
-121.83,37.27,14,2855,380,1420,383,6.6712,311500,<1H OCEAN
-116.43,33.75,24,2596,438,473,237,3.7727,500001,INLAND
-121.48,38.57,52,567,193,272,187,1.625,187500,INLAND
-122.28,38.22,42,106,18,40,25,7.5197,275000,NEAR BAY
-123.19,39.15,16,2577,495,1232,488,2.6012,125600,<1H OCEAN
-121.43,37.73,40,1718,391,1312,388,2.9955,134700,INLAND
-121.44,38.63,38,1673,399,1116,382,1.3302,62200,INLAND
-118.36,33.9,18,3380,922,2276,854,4.0727,214000,<1H OCEAN
-119.74,36.65,19,2546,463,1257,418,2.9013,89500,INLAND
-122.06,37.38,20,2976,766,1227,634,4.8625,262500,NEAR BAY
-121.62,39.5,18,2105,416,974,385,1.6346,63300,INLAND
-119.08,35.36,12,6442,1116,2966,1092,4.5791,123400,INLAND
-121.9,37.39,42,42,14,26,14,1.7361,500001,<1H OCEAN
-122.29,37.86,52,1665,404,815,372,1.9946,156900,NEAR BAY
-120.45,34.96,21,2121,445,2211,463,4.0603,117600,<1H OCEAN
-121.92,38.37,26,2056,413,933,367,2.7051,193800,INLAND
-122.15,37.43,47,2600,490,1149,465,5.0203,476300,NEAR BAY
-119.79,36.74,35,853,296,1228,289,1.0513,39600,INLAND
-120.61,35.12,12,3430,793,1840,720,2.9821,162000,<1H OCEAN
-122.25,37.8,43,2344,647,1710,644,1.6504,151800,NEAR BAY
-121.36,38.66,22,2878,599,1362,541,2.7955,96500,INLAND
-120.71,35.27,9,2568,421,1149,398,5.4287,331600,NEAR OCEAN
-122,37.36,19,2237,433,1158,426,6.7718,368300,<1H OCEAN
-120.38,36.15,17,2279,448,1200,420,2.7461,70000,INLAND
-122.22,37.79,46,2366,575,1647,527,2.6042,124700,NEAR BAY
-118.33,33.79,29,4389,873,2069,901,4.1071,365600,<1H OCEAN
-117.96,34.14,9,907,207,619,194,3.9464,179600,INLAND
-124.01,40.97,21,1513,319,943,301,3.538,102700,<1H OCEAN
-118.27,34.05,47,661,359,1406,307,1.3169,112500,<1H OCEAN
-122.25,37.84,52,3104,687,1157,647,3.12,241400,NEAR BAY
-122.63,38.94,25,661,144,192,93,1.7566,49000,INLAND
-117.78,33.78,6,9792,1283,3744,1179,10.1714,481500,<1H OCEAN
-117.34,33.96,15,6437,1298,2805,1205,4.1883,184500,INLAND
-118.18,33.78,17,1419,436,1300,360,2.0769,100000,NEAR OCEAN
-118.41,34.01,26,2503,449,1218,426,5.3683,500001,<1H OCEAN
-117.62,34.44,6,8884,1687,3767,1334,3.599,140200,INLAND
-120.37,36.16,36,613,124,310,124,3.0658,65000,INLAND
-119.19,34.16,34,2610,466,1543,433,3.9722,189000,NEAR OCEAN
-122.58,37.98,52,1180,216,467,197,4.9615,292200,NEAR BAY
-117.94,33.94,26,1962,540,1236,520,2.2156,145000,<1H OCEAN
-121.23,36.33,23,2095,536,1858,457,3.0543,92400,<1H OCEAN
-120.77,38.38,15,4221,816,1737,743,2.3125,128600,INLAND
-122.27,37.83,49,1215,282,570,264,1.4861,97200,NEAR BAY
-117.04,34.04,30,3474,735,1674,691,2.5863,98300,INLAND
-120.08,34.64,18,2375,429,1048,369,4.2222,375000,NEAR OCEAN
-120.16,39.14,21,2484,460,309,144,3.9722,127800,INLAND
-118.16,33.85,36,2668,473,1315,478,4.0714,215600,<1H OCEAN
-118.31,34.1,34,399,141,482,134,1.625,67500,<1H OCEAN
-118.08,33.99,37,1419,310,1125,296,2.5,162000,<1H OCEAN
-119.77,36.74,50,1325,280,811,281,1.8667,62800,INLAND
-117.86,33.78,21,2713,731,1952,722,2.6959,178800,<1H OCEAN
-118.38,34.02,31,1893,450,819,426,4.3077,140600,<1H OCEAN
-118.11,34.07,39,1270,299,1073,278,3.3088,186600,<1H OCEAN
-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900,NEAR BAY
-117.88,34.14,23,2308,322,1001,317,7.5112,355500,INLAND
-117.7,33.51,2,5261,763,1460,599,6.8279,279000,<1H OCEAN
-121.96,37.06,16,1321,224,650,206,6.3258,390000,NEAR OCEAN
-121.8,36.69,12,3877,914,2274,858,3.4239,194800,<1H OCEAN
-121.76,37.26,17,250,52,141,51,4.6458,500001,<1H OCEAN
-118.1,33.74,31,1310,342,563,310,4.6528,457100,NEAR OCEAN
-121.98,37.95,16,2984,406,1317,397,6.7821,265900,INLAND
-118.48,34,52,1359,395,521,368,2.6736,500001,<1H OCEAN
-118.31,34.09,37,773,,835,312,1.8576,193800,<1H OCEAN
-122.72,38.43,31,2020,476,1408,437,2.5735,131100,<1H OCEAN
-120.96,37.48,32,1256,212,682,236,2.9844,135900,INLAND
-117,32.77,35,2114,317,881,320,5.5,241400,<1H OCEAN
-117.97,34.1,26,1399,277,1285,276,4,160100,INLAND
-118.6,34.15,28,4570,744,1693,695,6.14,361900,<1H OCEAN
-118.82,34.14,22,11668,1730,4054,1671,6.9935,385500,NEAR OCEAN
-120.65,38.42,23,1538,305,730,267,2.6078,116700,INLAND
-117.46,34.09,8,4711,963,3310,988,3.5488,101600,INLAND
-117.66,34.04,16,2081,348,1332,356,4.7872,147600,INLAND
-120.02,37.57,17,2116,425,909,319,2.7188,113100,INLAND
-117.85,33.86,18,329,72,209,71,4.6806,187500,<1H OCEAN
-118.22,33.86,16,8732,1489,3944,1493,5.1948,203500,<1H OCEAN
-120.59,38.76,21,1728,417,731,334,1.7266,94700,INLAND
-122.11,37.99,10,2864,514,1300,507,4.3875,287700,NEAR BAY
-118.4,34.06,37,3781,873,1725,838,4.1455,500001,<1H OCEAN
-122.12,37.37,18,1617,231,555,222,8.9021,500001,NEAR BAY
-120.9,37.76,20,570,112,304,108,2.2024,156300,INLAND
-119.85,36.75,24,1143,245,608,240,2.8194,81100,INLAND
-117.69,33.63,23,1444,260,792,253,4.9079,273800,<1H OCEAN
-120.93,37.67,6,3491,657,2075,644,3.3844,138500,INLAND
